rid,ri_stratum
5e872cb9-923b-3fc1-0a9d-ac508e7a986d,20
5e872cbb-f457-788a-dc7d-4c9fcba15730,48
5e872cc7-9d2a-c5a1-9f5d-7a08a8826ab1,60
5e872cc7-be81-e405-8783-1346af7ebe0d,44
5e872cca-b903-98e3-4edd-ebc3321e61ed,19
5e872ccb-904f-abf0-13a7-e8a068515b0f,76
5e872cde-0e07-9424-7465-b3550b5f3257,20
5e872cdf-50dc-13a9-53ae-20a1ccf60f5a,55
5e872ce8-2485-de44-e858-6508a0f17d9e,40
5e872cea-5618-0ce7-10b7-cf46ec30b11b,6
5e872d00-6b6b-f6e8-9f00-916dc84d4be2,2
5e872d00-fc51-fc66-461a-d875f825464d,49
5e872d01-6287-4b3c-bc17-4c35969f5a6d,48
5e872d01-7bfb-3eca-42f0-01b816d38cc1,32
5e872d02-a66e-1511-61de-b5d8d8524eee,58
5e872d14-7ad0-7419-2b8d-a6c6dc31dfe3,56
5e872d17-781d-2802-0858-ac55f2564a93,43
5e872d18-864b-41f9-9041-acf0be22168a,33
5e872d1f-557d-35aa-0c21-66903767b0c9,50
5e872d2d-e8c0-1cde-55e9-d9010e37ba74,24
5e872d38-3a2e-434e-3e3a-d90d9a71f7a1,40
5e872d38-a6c0-5f15-1909-cfea0d99705f,46
5e872d3b-2ef8-82f3-6c34-003d3c10124f,32
5e872d3f-1e91-fc34-69e1-6ad2bded1485,54
5e872d41-f70e-d421-8373-f24d43c807b1,47
5e872d42-080e-59cd-3039-45779f807caa,46
5e872d54-ed0a-9f24-9173-2ce2675b6607,58
5e872d55-a885-6005-f9b4-79cd6af80ed8,47
5e872d5c-4c7b-55b5-0f5b-441e4ca76007,55
5e872d67-90d9-097b-dcfa-8f8269928562,19
5e872d6a-81c3-8e2e-166b-7acf5f46d78f,14
5e872d72-2944-e33b-04db-10a1f112f66a,34
5e872d75-ded4-6bc9-f547-0c996b6619d8,65
5e872d78-01ed-ef41-8649-2d00c713ca24,46
5e872d7e-32cc-4e19-4d0f-8773808f8d24,40
5e872d7e-3fc3-89da-2036-11b83acc0e34,54
5e872d88-df54-2fca-8b7d-2432844e1b6f,66
5e872d8a-8610-2ba3-c542-8d3294c3cc3c,53
5e872d93-ee01-525c-d4d2-89f9f1dd3906,66
5e872d99-c842-2c5c-d6ec-f6dfbdea9413,62
5e872da7-e6cd-c406-fdd2-945dd92c6dd5,52
5e872dad-0377-0be2-c0e3-f568f3f8a41a,58
5e872daf-1340-bf9d-b3e9-903dcaeace85,49
5e872dc6-a7fb-5149-d815-527914ab1ce7,32
5e872dd6-6a7a-12a0-a2cd-64a58a269572,33
5e872deb-7026-0160-11d6-32be7cef94cd,53
5e872def-8047-8b4c-195e-4fdcfe211e83,48
5e872dfa-98ce-cda2-0ebe-3faac78a17de,62
5e872dfa-ee5c-87d3-7d57-7cc1a34e4658,48
5e872e23-c1b1-21ce-2dc3-80f921dd3136,23
5e872e40-4192-5696-bdee-5cdf5ebd18f5,8
5e872e4b-87f5-8d5b-e815-7c0479dd9361,66
5e872e4c-2006-8254-b451-8b17d9e68095,16
5e872e54-a45e-bbd9-ac21-6f974e4920c0,57
5e872e5f-4e31-0493-c4b3-e9d32eb5c2e4,16
5e872e7d-a86d-b93f-6a2c-905f353d3289,33
5e872e8c-abf6-2550-1410-fb6107e258e5,70
5e872e90-3516-4671-3740-d9e484f14d78,63
5e872e9e-c6b7-ef2d-a31f-44b1716e5feb,8
5e872ea8-20cd-0224-5cf8-44031efb6dce,62
5e872eb2-cab0-c5b4-770d-4407b67f992d,68
5e872eb7-41eb-374b-4d24-5de1da46492d,20
5e872ec3-ba5a-bdf5-9f57-af2cfc832c25,61
5e872ec5-eb45-5e27-f4ca-58b4199511d6,14
5e872ed0-d8ad-7bb5-884c-2d59f0438b71,40
5e872ed7-79f6-9d3d-7a1f-70c4170812a2,72
5e872ee4-597b-7f8c-5b1b-6cd37f645372,39
5e872ee5-3b90-7109-f254-f24000ba07db,74
5e872ee8-146f-703b-d501-217c77b13791,83
5e872ef3-3535-89f6-90fb-0812b18f7c42,63
5e872ef8-bda5-9271-4f59-bc8599895474,58
5e872ef9-41ad-305f-d862-9537c6bfb50e,33
